MORPHID	MORPHTYPE	FORM	WFID	SGID	SG_LABEL	STRATUM	DEPTH	WF_LABEL	PROVENANCE	ROOTLEMMAS
R527	ROOT_SG	dzēr	WF306	SG348	dzer, dzēr, dzēs, dzir, dzīr, gar, gār		0	dzer, dzēr, dzēs, dzir, dzīr, gar, gār	SG_ROOT	L3324;L7588;L7589;L7590;L7591;L7592;L7593;L7594;L7595;L7596;L7597;L7598;L7599;L7600;L7601;L7602;L7603;L7604;L7605;L7606;L7607;L7608;L7609;L7610;L7611;L7612;L7613;L7614;L7615;L7616;L7617;L7618;L7619;L7620;L7621;L7622;L7623;L7624;L7625
R528	ROOT_SG	dzēs	WF306	SG348	dzer, dzēr, dzēs, dzir, dzīr, gar, gār		0	dzer, dzēr, dzēs, dzir, dzīr, gar, gār	SG_ROOT	L7626
R529	ROOT_SG	dzir	WF306	SG348	dzer, dzēr, dzēs, dzir, dzīr, gar, gār		0	dzer, dzēr, dzēs, dzir, dzīr, gar, gār	SG_ROOT	L7526;L3325;L7527;L7528;L7529;L7530;L7531;L7532;L7533;L7534;L7535;L7536;L7537;L7538;L7539;L7540
R530	ROOT_SG	dzīr	WF306	SG348	dzer, dzēr, dzēs, dzir, dzīr, gar, gār		0	dzer, dzēr, dzēs, dzir, dzīr, gar, gār	SG_ROOT	L7627;L7628;L7629;L7630;L7631;L7632;L7633
R531	ROOT_SG	gar	WF306	SG348	dzer, dzēr, dzēs, dzir, dzīr, gar, gār		0	dzer, dzēr, dzēs, dzir, dzīr, gar, gār	SG_ROOT	L7634;L7635;L7636
R532	ROOT_SG	gār	WF306	SG348	dzer, dzēr, dzēs, dzir, dzīr, gar, gār		0	dzer, dzēr, dzēs, dzir, dzīr, gar, gār	SG_ROOT	L7637
R533	ROOT_SG	dzērben	WF307	SG349	dzērben		0	dzērben	SG_ROOT	L7638;L7639;L7640
R534	ROOT_SG	dzer	WF308	SG350	dzer, dzir		0	dzer, dzir	SG_ROOT	L7641
R535	ROOT_SG	dzir	WF308	SG350	dzer, dzir		0	dzer, dzir	SG_ROOT	L7642;L7643;L7644;L7645;L7646;L7647;L7648;L7649;L7650;L7651;L7652;L7653;L7654;L7655;L7656;L7657
R536	ROOT_SG	dzirkl	WF309	SG351	dzirkl		0	dzirkl	SG_ROOT	L7658
R537	ROOT_SG	dzir	WF310	SG352	dzir		0	dzir	SG_ROOT	L7659
R538	ROOT_SG	dzergzd	WF311	SG353	dzergzd		0	dzergzd	SG_ROOT	L7660
R539	ROOT_SG	dzir	WF312	SG354	dzir, zir		0	zero-element	SG_ROOT	L7661;L7662;L7663
R540	ROOT_SG	zir	WF312	SG354	dzir, zir		0	zero-element	SG_ROOT	L7664
R541	ROOT_SG	gir	WF312	SG355	gir, ģir	BORROWED	0	zero-element	SG_ROOT	L7665
R542	ROOT_SG	ģir	WF312	SG355	gir, ģir	BORROWED	0	zero-element	SG_ROOT	L7666
R543	ROOT_SG	dzie	WF313	SG356	dzie, dzī, dzij		0	zero-element	SG_ROOT	L7667;L7668;L7669;L7670;L7671;L7672;L7673;L7674;L7675;L7676;L7677;L7678;L7679;L7680;L7681;L7682;L7683;L7684;L7685;L7686;L7687;L7688;L7689;L7690;L7691;L7692;L7693;L7694;L7695;L7696;L7697;L7698
R544	ROOT_SG	dzī	WF313	SG356	dzie, dzī, dzij		0	zero-element	SG_ROOT	L7699;L467;L7700;L7701;L7702;L7703;L7704;L7705;L7707;L7708;L7712;L7713;L7714;L7715;L7716;L7717;L7718;L7719;L7720;L7721;L7722;L7723;L7724;L7725;L7726;L7727;L7728;L1263;L7729;L4147;L7730;L7731;L5515;L7732;L7733;L7734;L7735;L7736;L7737;L2574;L2575;L2576;L7738;L7739;L7315;L7335;L7740;L7741;L7742;L7743;L7744;L7745;L7746;L7747;L7748;L7749;L7750;L7751;L7752;L7753;L7754;L7755;L7756;L7757;L7758;L7759;L7760;L7761;L7762;L7763;L7764;L7765;L7766;L7767;L7768;L7769;L7770;L7771;L7772;L7773;L7774;L7775;L7776;L7777;L7778;L7779;L7780;L7781;L7782;L7783;L7784;L7785;L7786;L7787;L7788;L7789;L7790;L7791;L7792;L7793;L7794;L7795;L7796;L7797;L7798;L7799;L7800;L7801;L7802;L7803;L7804;L7805;L7806;L7807;L7808;L7809;L7810;L7811;L7812;L7813;L7814;L7815;L7816;L7817;L7818;L7819;L7820;L7821;L7822;L7823;L7824;L7825;L7826;L7827;L7828;L7829;L7830;L7831;L7832;L7833;L7834;L7835;L7836;L7837;L7838;L7839;L7840;L7841;L7842;L7843;L7844;L7845;L7846;L7847;L7848;L7849;L7850;L7851;L7852;L7853;L7854;L7855;L7856;L7857;L7858;L7859;L7860;L7861;L7862;L7863;L7864;L7865;L7866;L7867;L7868;L7869;L7870;L7871;L7872;L7873;L7874;L7875;L7876;L7877;L7878;L7879;L7880;L7881;L7882;L7883;L7884;L7885;L7886;L7887;L7888;L7889;L7890;L7891;L7892;L7893;L7894;L7895;L7896;L7897;L7898;L7899;L7900;L7901;L7902;L7903;L7904;L7905;L7906;L7907;L7908
R545	ROOT_SG	dzij	WF313	SG356	dzie, dzī, dzij		0	zero-element	SG_ROOT	L7706;L7709;L7710;L7711
